N3954 115341.7 +205257 14.65 8   0.6   0.6   0  37291 UGC  6866            
N3955 115357.9 -230954 12.64 8   2.9   0.9 165  37320 ESO  504- 26         
N3956 115400.7 -203402 13.05 8   3.4   1.0   0  37325 ESO  572- 13         
N3957 115401.5 -193408 13.08 8   3.1   0.7   0  37326 ESO  572- 14         
N3958 115434.5 +582202 13.80 8   1.5   0.7  28  37358 UGC  6880            
N3959 115437.6 -074523 13.98 8   1.1   0.9   0  37363 MCG -1-30- 46        
N3960 115054.0 -554200  9.07 3                                             
N3961 115457.6 +691948 14.40 8   1.3   1.3   0  37390 UGC  6885            
N3962 115439.8 -135823 11.62 8   2.6   2.2  10  37366 MCG -2-30- 40        
N3963 115459.3 +582937 12.50 8   2.8   2.5   0  37386 UGC  6884            
N3964 115453.4 +281544 14.93 8   0.9   0.7   0  37375 MCG  5-28- 43        
N3965 115507.4 -105242  0.00 0               0                 
N3966 115644.2 +320118 13.60 8   3.1   0.7   0  37462 MCG  5-28- 48        
N3967 115510.4 -075038 14.27 8   1.5   1.1   0  37398 MCG -1-30- 47        
N3968 115528.7 +115806 12.60 8   2.7   1.9   0  37429 UGC  6895            
N3969 115509.2 -185539 13.98 8   1.4   0.9   0  37396 ESO  572- 17         
N3970 115528.1 -120341 14.50 8   1.1   0.5   0  37425 MCG -2-30- 41        
N3971 115536.4 +295945 13.66 8   1.4   1.2   0  37443 UGC  6899            
N3972 115546.1 +551907 12.98 8   3.9   1.1 120  37466 UGC  6904            
N3973 115537.0 +115949 15.4  8                                             
N3974 115540.1 -120139 14.38 8   1.1   1.1   0  37452 MCG -2-31-  1        
N3975 115553.7 +603146 15.70 8  0.74  0.33   0  37480 MCG 10-17-103        
N3976 115557.6 +064503 12.30 8   3.8   1.2   0  37483 UGC  6906            
N3977 115607.2 +552327 14.20 8  1.09  0.89   0  37497 UGC  6909            
N3978 115610.6 +603121 13.30 8   1.6   1.5   0  37502 UGC  6910            
N3979 115601.1 -024315 14.20 8   1.4   1.2   0  37488 UGC  6907            
N3980 115607.4 +552325 14.7  8                                             
N3981 115607.4 -195346 12.08 8   5.2   2.3   0  37496 ESO  572- 20         
N3982 115628.1 +550731 12.00 8  1.69  1.49   0  37520 UGC  6918            
N3983 115623.7 +235205 15.00 8   1.1   0.3   0  37514 UGC  6914            
N3984 115536.4 +295945 13.66 8   1.4   1.2   0  37632 UGC  6943            
N3985 115642.0 +482006 13.12 8   1.3   0.8  73  37542 UGC  6921            
N3986 115644.2 +320118 13.60 8   3.1   0.7   0  37544 UGC  6920            
N3987 115721.3 +251141 13.89 8   2.2   0.4  58  37591 UGC  6928            
N3988 115724.2 +275239 14.27 8  0.25  0.25   0  37609 MCG  5-28- 57        
N3989 115726.6 +251359 15.72 8   0.6   0.3   0  37599 MCG  4-28-100        
N3990 115736.3 +552733 13.43 8   1.4   0.8  40  37618 UGC  6938            
N3991 115730.7 +322016 13.50 8   1.4   0.4  33  37613 UGC  6933            
N3992 115736.2 +532231 10.60 8   7.6   4.7  68  37617 UGC  6937       M 109
N3993 115737.8 +251426 14.50 8   1.8   0.5   0  37619 UGC  6935            
N3994 115736.0 +321644 13.30 8   1.0   0.6  10  37616 UGC  6936            
N3995 115744.4 +321738 12.70 8   2.8   1.0  33  37624 UGC  6944            
N3996 115746.0 +141751 14.36 8   0.9   0.7   0  37628 UGC  6941            
N3997 115747.3 +251618 14.02 8   1.7   0.6   0  37629 UGC  6942            
N3998 115756.6 +552715 11.61 8   2.7   2.2 140  37642 UGC  6946            
N3999 115756.5 +250405 15.7  8                                             
N4000 115757.0 +250840 15.47 8   1.0   0.2   0  37643 UGC  6949            
N4001 115806.8 +472005 15.0  8                                             
N4002 115759.3 +231207 14.96 8   0.8   0.4   0  37635 MCG  4-28-104        
N4003 115759.0 +230730 14.28 8   1.5   0.9   0  37646 UGC  6948            
N4004 115805.4 +275238 14.10 8   1.8   0.6   8  37654 UGC  6950            
N4005 115810.3 +250718 13.89 8   1.2   0.7  92  37661 UGC  6952            
N4006 115805.8 -020712 14.02 8   1.7   1.2   0  37655 UGC  6951            
N4007 115759.1 +230728 14.8  8                                             
N4008 115817.2 +281134 12.96 8   2.5   1.3 167  37666 UGC  6953            
N4009 120056.0 +245554 17.52 0                                             
N4010 115837.8 +471538 13.17 8   4.3   0.8  66  37697 UGC  6964            
N4011 115825.5 +250551 15.7  8                                             
N4012 115827.5 +100117 14.00 8  1.85  0.56   0  37686 UGC  6960            
N4013 115831.7 +435648 12.19 8   5.2   1.0  66  37691 UGC  6963            
N4014 115835.8 +161038 13.29 8   2.2   1.3   0  37695 UGC  6961            
N4015 115842.5 +250212 14.2  8                                             
N4016 115829.3 +273144 13.80 8   1.5   0.8 175  37687 UGC  6954            
N4017 115845.3 +272715 13.00 8   1.8   1.4   0  37705 UGC  6967            
N4018 115840.7 +251859 14.73 8   1.7   0.3   0  37699 UGC  6966            
N4019 120110.4 +140616 14.02 0  2.91  0.34   0                 
N4020 115856.9 +302449 13.28 8   2.1   0.9   0  37723 UGC  6971            
N4021 115902.6 +250459 15.3  8                                             
N4022 115901.0 +251322 14.01 8   1.2   1.2   0  37729 UGC  6975            
N4023 115905.5 +245921 14.60 8   0.9   0.7   0  37732 UGC  6977            
N4024 115831.5 -182042 12.65 8   1.9   1.5  70  37690 ESO  572- 31         
N4025 115909.9 +374734 14.03 8   2.8   1.6  40  37738 UGC  6982            
N4026 115925.6 +505743 11.67 8   5.2   1.3 178  37760 UGC  6985            
N4027A115929.6 -191954 14.94 8   0.9   0.6 159  37772 ESO  572- 36         
N4027 115930.1 -191605 11.66 8   3.2   2.4 167  37773 ESO  572- 37         
N4028 115927.8 -191632 11.65 8                                             
N4029 120003.2 +081054 14.29 8   1.2   0.8   0  37816 UGC  6990            
N4030 120023.6 -010600 12.01 8   4.2   3.0   0  37845 UGC  6993            
N4031 120031.3 +315651 15.30 8   0.4   0.4   0  37855 MCG  5-28- 75        
N4032 120033.0 +200434 12.81 8   1.9   1.8   0  37860 UGC  6995            
N4033 120034.8 -175030 12.61 8   2.6   1.1  47  37863 ESO  572- 42         
N4034 120129.6 +691926 14.20 8   1.7   1.1   0  37935 UGC  7006            
N4035 120029.3 -155653 14.50 8   1.2   1.1   0  37853 MCG -3-31- 10        
N4036 120127.3 +615341 11.57 8   4.3   1.7  85  37930 UGC  7005            
N4037 120123.7 +132404 12.69 8   2.5   2.0   0  37928 UGC  7002            
N4038 115957.2 -191621  0.00 8               0  37967 ESO  572- 47          Antennae Galaxies          
N4039 120153.6 -185311 11.08 8   3.1   1.6   0  37969 ESO  572- 48          Antennae Galaxies          
N4040 120205.4 +174924 14.30 8   1.9   1.3   0  37993 UGC  7013            
N4041 120212.0 +620821 11.88 8   2.7   2.5   0  37999 UGC  7014            
N4042 130042.7 +275816 15.5  8                                             
N4043 120223.0 +041947 13.90 8  0.97  0.66   0  38010 UGC  7015            
N4044 120229.5 -001245 13.97 8   1.2   1.1   0  38018 UGC  7018            
N4045 120242.0 +015844 12.79 8   2.7   1.9  95  38031 UGC  7021            
N4045A120242.8 +015709 15.40 8   0.6   0.4 151  38033 MCG  0-31- 21        
N4046 120242.2 +015837 13.5  8                                             
N4047 120250.6 +483810 12.96 8   1.6   1.3   0  38042 UGC  7025            
N4048 120250.2 +180056 14.40 8  0.55  0.45   0  38040 UGC  7023            
N4049 120254.7 +184509 14.25 8   0.9   0.6   0  38050 UGC  7027            
N4050 120254.0 -162228 13.10 8   3.1   2.1  85  38049 MCG -3-31- 16        
N4051 120309.6 +443153 10.83 8   5.2   3.9 135  38068 UGC  7030            
N4052 120205.2 -631325  0.00 3               0                             
N4053 120311.7 +194342 14.6  8                                             
N4054 120312.4 +575336 14.6  8                                             
N4055 120401.4 +201356 14.12 0   1.2   0.9   0                 
N4056 120358.0 +201846 16.38 8                                             
N4057 120515.4 +201841 16.88 8                                             
N4058 120349.0 +033254 14.07 8   1.2   0.6   0  38124 UGC  7036            
N4059 120411.3 +202435 14.14 0   1.0   1.0   0                 
N4060 120401.0 +202013 15.6  8                                             
N4061 120401.4 +201356 14.12 8   1.2   0.9   0  38146 UGC  7044            
N4062 120403.5 +315341 11.90 8   4.1   1.7 100  38150 UGC  7045            
N4063 120406.0 +015049 14.70 8  0.93  0.42   0  38154 CGCG  13- 55         
N4064 120410.8 +182634 12.22 8   4.4   1.7 150  38167 UGC  7054            
N4065 120406.4 +201405 13.58 8   1.1   1.0   0  38156 UGC  7050            
N4066 120409.4 +202052 13.95 8   1.2   1.2   0  38161 UGC  7051            
N4067 120411.5 +105116 13.33 8   1.4   1.0   0  38168 UGC  7048            
N4068 120400.8 +523518 13.00 8   3.3   1.7   0  38148 UGC  7047            
N4069 120406.0 +201926 16.94 8  0.39  0.20   0                             
N4070 120411.3 +202435 14.14 8   1.0   1.0   0  38169 UGC  7052            
N4071 120415.7 -671836  0.00 6               0                             
N4072 120413.8 +201234 15.6  8                                             
N4073 120426.5 +015348 12.41 8   3.2   2.3 105  38201 UGC  7060            
N4074 120429.7 +201858 15.4  8                                             
N4075 120437.8 +020421 14.46 8   1.2   0.6   0  38216 MCG  0-31- 32        
N4076 120432.5 +201218 14.35 8   0.9   0.9   0  38209 UGC  7061            
N4077 120438.0 +014716 14.00 8  1.18  0.72   0  38218 UGC  7063            
N4078 120447.6 +103544 14.16 8   1.3   0.5   0  38238 UGC  7066            
N4079 120449.8 -022257 13.20 8   2.2   1.6   0  38240 UGC  7067            
N4080 120451.8 +265933 14.28 8   1.2   0.5   0  38244 UGC  7068            
N4081 120433.9 +642612 13.75 8   1.5   0.6   0  38212 UGC  7062            
N4082 120511.5 +104013 15.5  8                                             
N4083 120514.1 +103647 15.1  8                                             
N4084 120515.2 +211252 15.40 8   0.4   0.4   0  38272 MCG  4-29- 14        
N4085 120522.9 +502114 12.95 8   2.8   0.8  78  38283 UGC  7075            
N4086 120529.4 +201448 14.59 8   1.0   0.9   0  38290 UGC  7076            
N4087 120535.3 -263122 13.30 8   2.1   1.7   0  38303 ESO  505- 10         
N4088 120535.4 +503232 11.15 8   5.8   2.2  43  38302 UGC  7081            
N4089 120537.4 +203321 14.65 8   0.8   0.8   0  38298 MCG  4-29- 17        
N4090 120527.9 +201832 14.85 8   1.2   0.5   0  38288 UGC  7077            
N4091 120540.2 +203319 15.2  8                                             
N4092 120550.1 +202837 14.19 8   1.0   1.0   0  38338 UGC  7087            
N4093 120551.4 +203118 15.3  8                                             
N4094 120553.9 -143135 12.64 8   4.2   1.5   0  38346 MCG -2-31- 16        
N4095 120554.2 +203421 14.60 8  0.80  0.60   0  38324 MCG  4-29- 22        
N4096 120601.0 +472831 11.48 8   6.6   1.8  20  38361 UGC  7090            
N4097 120602.5 +365149 14.44 8   1.1   0.7   0  38363 UGC  7092            
N4098 120603.6 +203629 14.36 8  1.25  1.81   0  38365 MCG  4-29- 23        
N4099 120603.9 +203622  0.00 0               0                 
N4100 120608.5 +493454 11.89 8   5.4   1.8 167  38370 UGC  7095            
N4101 120610.6 +253325 14.52 8   1.0   0.8   0  38373 UGC  7093            
N4102 120623.4 +524241 11.99 8   3.0   1.7  38  38392 UGC  7096            
N4103 120639.6 -611500  0.00 3               0                             
N4104 120638.3 +281031 13.06 8   2.6   1.5  35  38407 UGC  7099            
N4105 120640.7 -294542 11.60 8   2.7   2.0 151  38411 ESO  440- 54         
N4106 120644.7 -294606 12.36 8   1.6   1.3  77  38417 ESO  440- 56         
N4107 120447.6 +103544 14.16 0   1.3   0.5   0                 
N4108 120644.6 +670947 13.04 8   1.7   1.4   0  38343 UGC  7088            
N4108 120645.6 +670947       8   1.7   1.4 105  38423 UGC  7101            
N4108B120712.3 +671409       8   1.3   1.1 125  38461 UGC  7106            
N4109 120651.1 +425944 14.84 8   1.0   0.9   0  38427 MCG  7-25- 24        
N4110 120703.4 +183154 14.49 8   1.3   0.7   0  38441 UGC  7102            
N4111 120702.7 +430402 11.63 8   4.6   1.0 150  38440 UGC  7103            
N4112 120709.5 -401229 12.82 8   1.6   0.9   0  38452 ESO  321-  6         
N4113 120708.5 +325945 14.80 0  0.65  0.4    0                 
N4114 120712.3 -141108 13.97 8   1.9   0.9   0  38460 MCG -2-31- 18        
N4115 120709.5 +142424  0.00 0               0                 
N4116 120736.4 +024133 12.41 8   3.8   2.2 155  38492 UGC  7111            
N4117 120746.1 +430735 14.04 8   1.8   0.9  90  38503 UGC  7112            
N4118 120752.8 +430641 15.60 8   0.7   0.4   0  38507 MCG  7-25- 28        
N4119 120809.6 +102244 12.30 0  4.48  0.98   0                 
N4120 120831.0 +693241 14.17 8   1.8   0.4   0  38553 UGC  7121            
N4121 120755.8 +650701 14.45 8   1.0   0.8   0  38508 MCG 11-15- 26        
N4122 120708.5 +325943 14.8  8                                             
N4123 120811.1 +025240 11.98 8   4.4   3.2 135  38531 UGC  7116            
N4124 120809.2 +102245 12.18 8   4.3   1.4 114  38527 UGC  7117            
N4125 120807.2 +651022 10.65 8   5.8   3.2  95  38524 UGC  7118            
N4126 120837.4 +160834 14.40 8   1.0   0.8   0  38565 UGC  7123            
N4127 120826.3 +764815 13.35 8   2.5   1.2   0  38550 UGC  7122            
N4128 120832.6 +684604 12.93 8   2.6   0.9  58  38555 UGC  7120            
N4129 120853.2 -090211 13.50 8   2.3   0.6   0  38580 MCG -1-31-  6        
N4130      		                                                  
N4131 120847.3 +291817 14.15 8   1.3   0.7   0  38573 UGC  7126            
N4132 120901.4 +291500 14.60 8   1.1   0.3   0  38593 MCG  5-29- 20        
N4133 120849.9 +745416 13.11 8   1.8   1.3   0  38578 UGC  7127            
N4134 120910.0 +291037 13.59 8   2.2   0.9   0  38605 UGC  7130            
N4135 120908.8 +440011 14.75 8   0.9   0.6   0  38601 MCG  7-25- 32        
N4136 120917.7 +295539 11.69 8   4.0   3.7   0  38618 UGC  7134            
N4137 120917.6 +440525 15.00 8  1.0   0.65   0  38619 UGC  7135            
N4138 120930.8 +434116 12.16 8   2.6   1.7 150  38643 UGC  7139            
N4139 120434.0 +014806 14.40 8  1.14  0.52   0  38213 MCG  0-31- 30        
N4140 120438.2 +014714 14.5  8                                             
N4141 120947.3 +585057 14.60 8  0.96  0.74   0  38669 UGC  7147            
N4142 120931.1 +530617 13.89 8   2.2   1.2 175  38645 UGC  7140            
N4143 120936.6 +423211 11.65 8   2.3   1.4 144  38654 UGC  7142            
N4144 120959.4 +462726 12.05 8   6.0   1.3 104  38688 UGC  7151            
N4145 121002.2 +395252 11.78 8   5.9   4.3 100  38693 UGC  7154            
N4146 121018.2 +262551 13.59 8   1.4   1.3   0  38721 UGC  7163            
N4147 121006.2 +183230 11.45 4                                             
N4148 121007.9 +355239 14.31 8   1.5   1.0  23  38704 UGC  7158            
N4149 121032.8 +581815 13.80 8  1.57  0.54   0  38741 UGC  7167            
N4150 121033.5 +302406 12.44 8   2.3   1.6 147  38742 UGC  7165            
N4151 121033.0 +392428 11.50 8   6.3   4.5  50  38739 UGC  7166            
N4152 121037.6 +160201 12.66 8   2.2   1.7 115  38749 UGC  7169            
N4153 121006.2 +183232 10.10 0  1.21  1.14   0                 
N4154 121032.8 +581815 13.80 0  1.57  0.54   0                 
N4155 121045.7 +190227 14.34 8   1.1   1.0   0  38761 UGC  7172            
N4156 121049.7 +392824 13.96 8   1.4   1.1   0  38773 UGC  7173            
N4157 121104.9 +502910 12.15 8   6.8   1.3  66  38795 UGC  7183            
N4158 121110.1 +201033 12.86 8   1.9   1.7   0  38802 UGC  7182            
N4159 121053.6 +760733 14.38 8   1.3   0.5   0  38777 UGC  7174            
N4160 121201.7 +434408  0.00 0               0                 
N4161 121133.5 +574415 13.90 8   1.1   0.7   0  38834 UGC  7191            
N4162 121151.8 +240724 12.87 8   2.3   1.4 174  38851 UGC  7193            
N4163 121209.1 +361010 14.50 8   1.8   1.6   0  38881 UGC  7199            
N4164 121205.5 +131220 15.7  8                                             
N4165 121211.9 +131448 14.38 8   1.3   0.9 160  38885 UGC  7201            
N4166 121209.6 +174525 14.08 8   1.2   1.0   0  38882 UGC  7198            
N4167 121209.1 +361009 14.50 0   1.8   1.6   0                 
N4168 121216.5 +131224 12.11 8   2.8   2.3   0  38890 UGC  7203            
N4169 121219.0 +291049 13.15 8   1.8   0.9 153  38892 UGC  7202             Box Galaxies           
N4170 121221.4 +291226 13.7  8                                             
N4171 121221.4 +291226 13.7  8                                             
N4172 121214.9 +561039 13.90 8  1.04  0.98   0  38887 UGC  7205            
N4173 121221.6 +291224 13.59 8   5.0   0.7 134  38897 UGC  7204             Box Galaxies
N4174 121227.0 +290857 14.31 8   0.8   0.3  50  38906 UGC  7206             Box Galaxies
N4175 121230.7 +291009 14.17 8   1.8   0.4 130  38912 UGC  7211             Box Galaxies
N4176 121236.8 -090937 15.06 8                                             
N4177 121241.2 -140052 13.32 8   1.7   1.1   0  38937 MCG -2-31- 21        
N4178 121246.3 +105149 11.90 8   5.1   1.8  30  38943 UGC  7215            
N4179 121252.2 +011800 11.91 8   4.0   1.1 143  38950 UGC  7214            
N4180 121303.0 +070220 13.49 8   1.6   0.6   0  38964 UGC  7219            
N4181 121249.0 +525411 15.2  8                                             
N4182 121322.7 +040239       8                                             
N4183 121317.6 +434155 12.86 8   5.2   0.8 166  38988 UGC  7222            
N4184 121332.6 -624317  0.00 3               0                             
N4185 121322.2 +283039 12.90 8   2.6   1.9   0  38995 UGC  7225            
N4186 121406.5 +144333 14.65 8   1.1   0.9   0  39057 UGC  7240            
N4187 121329.3 +504429 13.80 8  1.43  0.93   0  39004 UGC  7229            
N4188 121407.4 -123511 14.   8                                             
N4189 121346.8 +132536 12.51 8   2.4   1.7  85  39025 UGC  7235            
N4190 121344.7 +363800 13.90 8   1.7   1.5   0  39023 UGC  7232            
N4191 121350.4 +071203 13.82 8   1.1   0.8   0  39034 UGC  7233            
N4192 121348.2 +145343 10.95 8   9.8   2.8 155  39028 UGC  7231        M  98 
N4193 121353.5 +131028 13.18 8   2.0   1.0  93  39040 UGC  7234            
N4194 121409.8 +543139 13.01 8   1.8   1.1   0  39068 UGC  7241            
N4195 121418.1 +593656 14.80 8  1.19  0.99   0  39082 UGC  7244            
N4196 121429.7 +282524 13.80 8   1.2   0.9   0  39098 UGC  7245            
N4197 121438.3 +054821 13.44 8   3.4   0.6  36  39114 UGC  7247            
N4198 121422.0 +560041 14.00 8  1.12  0.74   0  39090 UGC  7246            
N4199 121450.0 +595317 15.5  8                                             
N4200 121444.0 +121052 13.91 8   1.5   0.8  98  39124 UGC  7251            
N4201 121441.7 -113458 14.   8                                             
N4202 121808.5 -010351 14.40 8  1.20  0.62   0  39495 UGC  7337            
N4203 121505.3 +331153 11.80 8   3.4   3.2  10  39158 UGC  7256            
N4204 121514.3 +203932 12.90 8   3.6   2.9   0  39179 UGC  7261            
N4205 121455.5 +634658 13.89 8   1.7   0.6   0  39143 UGC  7258            
N4206 121516.6 +130130 12.82 8   6.2   1.2   0  39183 UGC  7260            
N4207 121530.2 +093506 13.48 8   1.6   0.8 124  39206 UGC  7268            
N4208 121539.3 +135405 11.83 0   3.2   1.9   0                 
N4209 121525.8 +282807  0.00 0               0                 
N4210 121515.8 +655907 13.20 8  1.71  1.14   0  39184 UGC  7264            
N4211 121535.8 +281040 14.40 8   1.0   1.0   0  39195 MCG  5-29- 43        
N4211 121535.7 +281038       8   1.0   1.0   0  39221 MCG  5-29- 42        
N4212 121539.1 +135405 11.83 8   3.2   1.9  75  39224 UGC  7275            
N4213 121538.1 +235858 13.48 8   1.7   1.7   0  39223 UGC  7276            
N4214 121539.5 +361939 10.24 8   8.5   6.6   0  39225 UGC  7278            
N4215 121554.7 +062407 13.00 8   1.9   0.7 174  39251 UGC  7281            
N4216 121553.1 +130858 10.99 8   8.1   1.8  19  39246 UGC  7284            
N4217 121550.9 +470532 12.04 8   5.2   1.5  50  39241 UGC  7282            
N4218 121546.2 +480753 13.40 8   1.2   0.7   0  39237 UGC  7283            
N4219 121627.3 -431927 12.71 8   4.3   1.3   0  39315 ESO  267- 37         
N4219A121800.4 -433222       8   1.3   0.6  31  39484 ESO  267- 38         
N4220 121611.8 +475305 12.27 8   3.9   1.4 141  39285 UGC  7290            
N4221 121559.8 +661351 13.00 8  1.53  1.11   0  39266 UGC  7288            
N4222 121622.7 +131831 13.86 8   3.3   0.5  56  39308 UGC  7291            
N4223 121725.8 +064124 12.99 0   2.6   1.3   0                 
N4224 121633.6 +072740 12.90 8   2.6   1.0  57  39328 UGC  7292            
N4225 121638.3 -121937 14.   8                                             
N4226 121626.3 +470131 14.36 8   1.3   0.6   0  39312 UGC  7297            
N4227 121633.7 +333119 13.70 8   1.5   0.9   0  39329 UGC  7296            
N4228 121539.2 +361941 10.3  8                                             
N4229 121638.8 +333339 14.24 8   1.1   0.8   0  39341 UGC  7299            
N4230 121709.4 -551710  0.00 3               0                             
N4231 121648.9 +472727 14.27 8   1.2   1.1   0  39354 UGC  7304            
N4232 121649.0 +472620 14.43 8   1.4   0.7   0  39353 UGC  7303            
N4233 121706.6 +073723 12.90 8   2.4   1.1 174  39384 UGC  7311            
N4234 121708.8 +034059 13.30 8   1.3   1.3   0  39388 UGC  7309            
N4235 121708.9 +071131 12.62 8   4.2   0.9  48  39389 UGC  7310            
N4236 121643.4 +692756 10.05 8  21.9   7.2 162  39346 UGC  7306            
N4237 121710.7 +151928 12.51 8   2.1   1.3 108  39393 UGC  7315            
N4238 121655.8 +632436 14.20 8  1.86  0.52   0  39366 UGC  7308            
N4239 121714.7 +163155 13.70 8   1.8   1.2 120  39398 UGC  7316            
N4240 121724.3 -095706 13.36 8   1.2   1.2   0  39411 MCG -2-31- 29        
N4241 121725.4 +064126 12.99 8   2.6   1.3 128  39412 UGC  7319            
N4242 121730.2 +453721 11.37 8   5.0   3.8  25  39423 UGC  7323            
N4243 121724.4 -095704 14.   8                                             
N4244 121730.0 +374827 10.88 8  16.6   1.9  48  39422 UGC  7322            
N4245 121737.0 +293634 12.31 8   2.9   2.2   0  39437 UGC  7328            
N4246 121758.2 +071107 13.38 8   2.4   1.3  83  39479 UGC  7334            
N4247 121758.0 +071626 14.36 8   1.1   0.9   0  39480 MCG  1-31- 42        
N4248 121750.2 +472437 13.12 8   3.0   1.1 108  39461 UGC  7335            
N4249 121759.4 +053554 14.8  8                                             
N4250 121726.3 +704809 12.78 8   2.7   2.1   0  39414 UGC  7329            
N4251 121808.0 +281032 11.58 8   3.6   1.5 100  39492 UGC  7338            
N4252 121830.9 +053334 14.50 8  1.62  0.42   0  39537 UGC  7343            
N4253 121826.5 +294846 13.70 8   1.0   0.8   0  39525 UGC  7344            
N4254 121849.4 +142507 10.44 8   5.4   4.7   0  39578 UGC  7345       M  99
N4255 121856.2 +044709 13.82 8   1.3   0.5   0  39592 UGC  7348            
N4256 121724.7 +661344  0.00 8               0  39568 UGC  7351            
N4257 121906.5 +054333 14.40 8  0.87  0.44   0  39624 MCG  1-31- 49        
N4258 121857.9 +471816  9.10 8  18.6   7.2 150  39600 UGC  7353       M 106
N4259 121922.2 +052234 14.58 8   1.2   0.4 143  39657 UGC  7359            
N4260 121922.0 +060601 12.70 8   2.7   1.3  58  39656 UGC  7361            
N4261 121922.8 +054936 11.41 8   4.1   3.6 160  39659 UGC  7360            
N4262 121930.7 +145244 12.49 8   1.9   1.7   0  39676 UGC  7365            
N4263 121942.2 -121332 13.42 8   1.2   0.5   0  39698 MCG -2-32-  1        
N4264 121935.6 +055051 13.70 8   1.0   0.8   0  39687 UGC  7364            
N4265 121942.2 -121329 14.   8                                             
N4266 121942.3 +053217 14.58 8   2.0   0.4   0  39699 UGC  7368            
N4267 121945.7 +124757 11.86 8   3.2   3.0   0  39710 UGC  7373            
N4268 121947.2 +051702 13.82 8   1.6   0.6  48  39712 UGC  7371            
N4269 121949.2 +060054 13.94 8   1.1   0.8   0  39719 UGC  7372            
N4270 121948.7 +052752 13.07 8   2.0   0.9 110  39718 UGC  7376            
N4271 121932.6 +564412 13.50 8   1.5   1.3   0  39683 UGC  7375            
N4272 121947.7 +302022 14.12 8   1.0   0.9  32  39715 UGC  7378            
N4273 121955.6 +052048 12.39 8   2.3   1.5  10  39738 UGC  7380            
N4274 121950.9 +293654 11.34 8   6.8   2.5 102  39724 UGC  7377            
N4275 121952.6 +273715 14.10 8   0.8   0.7   0  39728 UGC  7382            
N4276 122007.5 +074131 13.42 8   1.6   1.4   0  39765 UGC  7385            
N4277 122003.9 +052031 13.38 8   1.0   0.9   0  39759 MCG  1-32-  9        
N4278 122007.2 +291647 11.09 8   4.1   3.8   0  39764 UGC  7386            
N4279 122025.0 -114000 14.50 8   1.1   0.7   0  39812 MCG -2-32-  3        
N4280 122031.9 -113909  0.00 0               0                 
N4281 122021.7 +052313 12.25 8   3.0   1.5  88  39801 UGC  7389            
