*7650
0000+49   BD 49 4329  
0023+58   RXJ0028.8+  
0024+25   PX AND      
0024+29   CSV 100032  
0024+59   DL CAS      
0024+82   AD CEP      
0024-38A  T SCL       
0024-38B  RR SCL      
0025+39   V353 AND    
0025+59   NSV 186     
0025+61   VX CAS      
0025-09   NSV 15101   
0025-46   T PHE       
0025-47   RW PHE      
0026+14   T PSC       
0026+14B  STAR SW     
0026+41   LS AND      
0026+43   HQ AND      
0026+53   NSV 15106   
0026+59   NSV 188     
0027+25A  TU AND      
0027+25B  DZ AND      
0027+25C  EE AND
0027+25D  NSV 193     
0027+25E  NSV 189     
0027+25F  SUSP CIF    
0028+43   HR AND      
0028-33   W SCL       
0029+60   V826 CAS    
0029+69   CP CAS      
0030+57   UW CAS      
0030+57B  V382 CAS    
0030+62   V446 CAS    
0030-04   BU CET      
0030-25   ZZ SCL      
0030-50   U PHE       
0030-73   VZ TUC      
0031+46   LZ CAS      
0031+48   V752 CAS    
0031+59   NSV 15133   
0031+62   TY CAS      
0031+62B  91 VAR? S   
0031+62C  138 COMP S  
0031+79   Y CEP       
0032+45   BZ AND      
0032+56   FX CAS      
0032+60   KP CAS      
0034+02   NSV 242     
0034+55   ALPHA CAS   
0034+79   NSV 251     
0035+40   PT AND      
0035+42   HV AND      
0035-34   Z SCL       
0036+26   LL AND      
0036+53   V754 CAS    
0037+40   S AND       
0037+40B  NSV 262     
0037-10   AI CET      
0038+41   CC AND      
0039+02   CI PSC      
0039+40   EG AND      
0039+47   OMI CAS     
0039+48   LD 333
0039+52   V720 CAS    
0039-73   V0264 SMC   
0040+47   U CAS       
0040+47B  NSV 270     
0040+47C  NSV 280     
0040+47D  LD 334      
0040+47E  91 COMP W   
0041+14   NSV 293     
0041+32   RW AND      
0041+81   RX CEP      
0042+23   ZETA AND    
0042-74   VAR SMC 01  
0043+12   CK PSC      
0043+56   NSV 305     
0043+56B  GX CAS      
0044+35   V AND       
0044+35B  120 VAR? E  
0044+59   XY CAS      
0044-35   X SCL       
0045+02   NSV 15180   
0045+62   VY CAS      
0045-10   OB-081 CET  
0046+33   RR AND      
0046+53   V452 CAS    
0046+56   IY CAS      
0046+59   V451 CAS    
0047+46A  RV CAS      
0047+46B  IZ CAS      
0047+49   NSV 332     
0047+62   OV CAS      
0047-21   CO CET      
0047-74   HD 5030     
0048+12   MARK 1502   
0049+23   NSV 343     
0049+58   W CAS       
0049+58B  102 COMP S  
0049-70   TZ TUC      
0050+57   NSV 347     
0050+59   LD 90       
0050+60   GAMMA CAS
0051+25   CN PSC      
0051+31   CO PSC      
0051+48   KS CAS      
0051-10   SN 1999GE   
0051-26   AC SCL      
0052+43   SN 1999GL   
0053+12   SN 1999EF   
0053+39   IV AND      
0053+60   AV CAS      
0053+60B  V722 CAS    
0053+63   LD 93       
0053+81   U CEP       
0053-20   CQ CET      
0054+27   W PSC       
0054+27B  VAR E       
0054+27C  VAR? E      
0054+56   HL CAS      
0054+56B  V365 CAS    
0054-75   U TUC       
0055+42   IW AND      
0055-02   CR CET      
0055-12   AK CET      
0056+59   SAO 21947   
0056+81   NSV 380     
0056-08   SN 1998DN   
0056-72   HD 5980     
0057+45   EH AND      
0057+52   V759 CAS    
0057+70   AD CAS      
0057-72   RY TUC      
0058+02   CQ PSC      
0058+31   SN 1998EF   
0058+38   V360 AND    
0058+40   RX AND      
0058+40B  NSV 389     
0058+40C  133 COMP N  
0058+40D  121 COMP S  
0058+40E  NSV 15235   
0059+07   70 PSC      
0059+18   CR PSC
0059+53   V723 CAS    
0059+53B  104 COMP W  
0059+53C  83 VAR? E   
0059+53D  116 VAR? S  
0100+53   V456 CAS    
0100+63   V487 CAS    
0101+31   SN 2000DK   
0101+42   IZ AND      
0101+45   EI AND      
0101+53   V417 CAS    
0101-02   Z CET       
0101-02B  138 COMP W  
0103+59   HT CAS      
0103+59B  115 COMP S  
0103-17   AL CET      
0104+27   RZ PSC      
0104+27B  VAR PSC     
0104+35   BETA AND    
0104+44   V416 AND    
0104-73   HD 6884     
0105+01   NSV 422     
0105+03   XY PSC      
0105+22   CT PSC      
0105+53   HV CAS      
0105+64   RU CAS      
0106+21A  X PSC       
0106+21B  UX PSC      
0106+21C  VAR? SW     
0106+21D  145 COMP S  
0106+21E  128 COMP N  
0106+22   S2 0109+22  
0106+34   FN AND      
0106+51   NSV 432     
0106+61   V418 CAS    
0106-14   AM CET      
0106-30   U SCL       
0107+57   NSV 436     
0107+62   NSV 438     
0108+26   RT PSC      
0108+26B  86 COMP SE
0108+63   LD 96       
0108+84   RU CEP      
0109+06   UY PSC      
0109+37   FO AND      
0109+40   U AND       
0109+40B  STAR SW     
0109+40C  96 COMP N   
0109-02   AN CET      
0109-57   RS PHE      
0110+25   Z PSC       
0110+41A  UZ AND      
0110+41B  EK AND      
0110+49   V417 AND    
0110+54   V555 CAS    
0110+55A  VZ CAS      
0110-73   HD 7583     
0111+57   V764 CAS    
0111+58   BQ CAS      
0111+61   V538 CAS    
0111-03   AY CET      
0111-18   WX CET      
0112+08   S PSC       
0112+57   V465 CAS    
0112+63   V635 CAS    
0112+63B  ISV0115+63  
0112+65   250114+650  
0112+72   S CAS       
0113+55   AA CAS      
0113+79   AE CEP      
0114-01   NSV 15288   
0115-10   AO CET      
0115-16   NSV 472     
0115-56   W PHE       
0116+09   AH PSC      
0116+38   TX AND      
0116+60   XZ CAS      
0117+00   BI CET      
0117+06   AR PSC      
0117+12   U PSC       
0117+12B  VAR? PSC
0117+24   TZ PSC      
0117-00   NSV 487     
0118+21   RW PSC      
0118+60   BT CAS      
0118-18   NSV 490     
0119+08   SN 2000CX   
0119+33   SN 2001EN   
0119+59   DELTA CAS   
0119-02   NSV 15299   
0120+20   RX PSC      
0120+20B  VAR? S      
0120+31   TY PSC      
0120-04   NSV 504     
0121-00   NSV 15305   
0121-06   SN 1998DM   
0122+16   ST PSC      
0122+16B  108 VAR? S  
0122+30   AS PSC      
0122+37   RXJ0127+38  
0122+49   EM AND      
0122+61   V390 CAS    
0122+88   ALPHA UMI   
0122-33   R SCL       
0122-33B  RS SCL      
0123+50   RZ PER      
0123+58   NSV 521     
0123+60   XX CAS      
0124+29   CX PSC      
0124+49   V418 AND    
0124+57   KU CAS      
0124+57B  VAR? CAS    
0124+57C  VAR? CAS    
0125+02   R PSC       
0125+35   RXJ0131.4+  
0125-47   AW PHE      
0126+13   SN 1999DK   
0126+30B  NSV 534     
0126+72   AG CAS      
0126-43   SY PHE      
0126-73   V2350 SMC
0127+46   SX AND      
0127+46B  VAR? SW     
0127+57   WW CAS      
0127-00   CY CET      
0128-09   NSV 15326   
0128-73   V2356 SMC   
0129-43   SZ PHE      
0130+31   TW TRI      
0130+50   KT PER      
0130+50B  129 VAR? N  
0130+53   AX PER      
0130+57   RW CAS      
0131+06   AY PSC      
0131+11   PI PSC      
0131+15   SN 2002AP   
0131+15B  SN 2003GD   
0131+55   PT CAS      
0131+56   NSV 572     
0131-75   RY HYI      
0132+05   SN 1998ES   
0132+29   TX TRI      
0132+38   RU AND      
0133+00   SW CET      
0133+00B  99 VAR? SW  
0133+30   TU TRI      
0133+38   Y AND       
0133+38B  101 VAR? N  
0133+60   V770 CAS    
0134-18   UV CET      
0134-18B  VW CET      
0136+38   OQ AND      
0136+47   NSV 596     
0136+59   LD 100      
0137+48   NSV 602     
0137+50   PHI PER     
0137-68   BL HYI      
0138+03   SN 1999EB   
0138+37   SN 2001DN   
0139+37   AR AND      
0139+37B  SUSP RIP
0139+37C  OW AND      
0139-16   NSV 15373   
0140+59   V774 CAS    
0140+60   V832 CAS    
0141+18   SV PSC      
0141+31   RXJ0146.8+  
0141+39   AU AND      
0142-75   V2364 SMC   
0143+11   SN 1996BO   
0143+11B  SN 2001FA   
0143+49   NSV 623     
0143-15   NSV 15391   
0144+53   TT PER      
0144+59   VV CAS      
0144-05   AQ CET      
0145+37   V367 AND    
0145+38   V368 AND    
0145-05   DG CET      
0145-13   NSV 15395   
0146+08   DD PSC      
0146+13   SDSS0151    
0146+44   EQ AND      
0146+67   NSV 650     
0146-02   ROTSE3J015  
0147+60   WX CAS      
0147+63   EPS CAS     
0148+69   V391 CAS    
0149+58   X CAS       
0149+58B  110 COMP E  
0149-49   RT PHE      
0150+16   ZZ ARI      
0150+23   RR ARI      
0150+33   SN 2000DJ   
0150-00   SDSS0155    
0150-60   RXSJ0154.0  
0151+33   T TRI       
0151+54   V437 PER    
0152+23   NSV 680     
0152+30   AA TRI      
0152+33   UZ TRI
0152+37   QX AND      
0152+52   V471 PER    
0152+54   U PER       
0152+54B  87 VAR? SW  
0152+54C  90 COMP SW  
0152+59   V597 CAS    
0152+75   V779 CAS    
0152-68   ETA1 HYI    
0153+44   V370 AND    
0154+27   X TRI       
0154+57   V666 CAS    
0154+58   LD 102      
0154+61   V598 CAS    
0154+70   V393 CAS    
0154-14   NSV 15415   
0155+05   TT PSC      
0155+05B  114 COMP S  
0155+06   DE PSC      
0155+56   V PER       
0155+57   TY PER      
0155-09   AR CET      
0155-21   NSV 15418   
0156+02   NSV 705     
0156+54   XX PER      
0156+57   CF PER      
0157+15   RY ARI      
0157+32   NSV 707     
0157+35   XX TRI      
0158+22   AA ARI      
0159+12   S ARI       
0159+40   AH AND      
0159+56   CN PER      
0159+56B  STAR NW     
0159-12   NSV 715     
0200+09   NSV 15437   
0200+21   AB ARI      
0200+57   VX PER      
0200-17   DM CET      
0201+03   DN CET      
0201+14   TT ARI
0201+14B  93 VAR? SW  
0201+22   KAPPA ARI   
0201+57   V472 PER    
0201-02   BO CET      
0201-10   UZ CET      
0201-78   TV HYI      
0202+24   AC ARI      
0202+27   Z TRI       
0202+34   MS 0205.7+  
0202-57   Y ERI       
0203+05   SN 2003G    
0203+17   AU ARI      
0203+56A  UV PER      
0203+56B  KK PER      
0203+56E  136 COMP W  
0204+48   RV AND      
0205+19   AV ARI      
0205+20   NSV 15454   
0205+56   UW PER      
0205-54   CPD-55 395  
0206+34   AC TRI      
0206+57A  TZ PER      
0206+57B  VAR NE      
0206+57C  136 COMP S  
0206-54   ER ERI      
0207+08   NSV 749     
0207+14   NSV 748     
0207+63   V787 CAS    
0207-63   WX HYI      
0208+57   V550 PER    
0209+11   V ARI       
0209+17   RV ARI      
0209+78   AG CEP      
0209-01   MARK 590    
0210+24   R ARI       
0210+24B  123 COMP E  
0210+56   V356 PER    
0210+58   PP PER      
0210+58B  VAR? PER    
0211+37   AK 79 AND
0211+40   KV AND      
0211+43A  W AND       
0211+43B  127 VAR? S  
0211+43C  97 VAR? E   
0211+43D  VAR? NE     
0211+50   V420 AND    
0211+50B  COMPV420    
0211+56   BU PER      
0211+63   NSV 783     
0211+78   NSV 786     
0211-10   NSV 768     
0211-20   RY CET      
0212+17   AD ARI      
0212+28   AD TRI      
0212+58   T PER       
0212+81   Z CEP       
0213+05   SN 2000DX   
0213+06   NSV 15478   
0213+40   LX AND      
0213+47   NSV 15486   
0213+56A  AD PER      
0213+56B  FZ PER      
0213+56C  NSV 809     
0213+59   V605 CAS    
0213-14   AS CET      
0214+56   V424 PER    
0214+57   PR PER      
0214+58   HD 14356    
0214-03   OMI CET     
0214-03B  54 COMP NE  
0215+22   AE ARI      
0215+31   RT TRI      
0215+44   VAR X       
0215+55   V474 PER    
0215+56A  RS PER      
0215+56B  SU PER      
0215+56C  V553 PER    
0215+58   S PER       
0215+58B  83 VAR? N   
0215+58C  VAR? SE
0215+58D  VAR? W      
0215+58E  VAR? S      
0215+58F  VAR? NE     
0215+58G  VAR? SSE    
0215+58H  62 COMP SW  
0215+58I  89 COMP W   
0216+22   AF ARI      
0216+42   3C 66A AND  
0216+54   V440 PER    
0216+56A  V361 PER    
0216+56B  V439 PER    
0216+56C  V403 PER    
0217+70   AM CAS      
0217-10   TZ CET      
0218+56   V441 PER    
0218+57   HD 14826    
0219+27   RW TRI      
0219+32   WY TRI      
0219+33   AE TRI      
0219+37   BI AND      
0219+57   V475 PER    
0219+59   SZ CAS      
0219-79   SY HYI      
0220+37   FS AND      
0220-00   R CET       
0220-00B  114 COMP S  
0221+32A  S TRI       
0221+32B  - TRI NW    
0221+32C  VAR? NE     
0221+32D  - TRI SE    
0221+36   AF TRI      
0221+50   RR PER      
0222-00   RS CET      
0222-01   NSV 15514   
0222-60   S HOR       
0223+07   NSV 15521   
0223+39   PQ AND      
0223+62   V676 CAS    
0223-00   NSV 834     
0224+45   CQ AND
0224+57   V425 PER    
0224-26   R FOR       
0225-00   NSV 846     
0226+46   AX AND      
0226+46B  116 COMP S  
0226+55   V556 PER    
0226-69   NSV 840     
0227+45   UX AND      
0227-41   X ERI       
0228+00   SDSS0233    
0228+20   SN 1999DQ   
0228+24   AH ARI      
0228+55   DY PER      
0228-13   U CET       
0228-13B  73 COMP SE  
0228-13C  VAR? NW     
0228-69   RXSJ0230-6  
0229+40   KW AND      
0229+80   RR CEP      
0229-03   DW CET      
0230+06   DX CET      
0231+07   NSV 872     
0231+20   NSV 15555   
0231+33   R TRI       
0231+33B  106 COMP W  
0231+33C  15 TRI      
0231+33D  NSV 860     
0231+33E  92 COMP W   
0231+33F  67 COMP NW  
0231+38   NSV 15553   
0231+55   VZ PER      
0231+56   YZ PER      
0231-07   SN 1984L    
0232+38A  UY AND      
0232+38B  VAR? NW     
0232+60   V615 CAS    
0232+60B  VAR SW      
0232-27   UU FOR      
0233+16   AO 0235+16  
0233+41   Z PER
0233-63   RS HOR      
0234+20   AK ARI      
0234+35   AH TRI      
0234+43   V558 PER    
0234+61   GT0236+610  
0234-00   DE CET      
0235+30   Y ARI       
0235+34   W TRI       
0235+42   NSV 895     
0235+56   PT PER      
0235+60   MWC 56      
0235-54   SW HOR      
0236+35   PU PER      
0236+37   PV PER      
0236-01   NSV 893     
0237+10   NSV 899     
0237+12   AL ARI      
0237+35   TV PER      
0237+35B  110 COMP N  
0237+36   NGC 1058    
0237-00   NGC 1068    
0238+17   AM ARI      
0238+17B  NSV 15567   
0238-26   X FOR       
0239+09   NSV 909     
0239+11   RU ARI      
0239+23   NSV 15568   
0239+27   NSV 907     
0239+33   UW TRI      
0239+69   RZ CAS      
0240+51   V563 PER    
0240-29   ST FOR      
0241+18   NSV 15579   
0241+34   V368 PER    
0241+36   TX PER      
0241+39   AH PER      
0241+57   NSV 929     
0241-00   SN 1995V    
0241-08   SN 1996AN   
0242+10   WX ARI
0242+16   SU ARI      
0242+17   T ARI       
0242+17B  NSV 931     
0242+17C  NSV 937     
0242+17D  NSV 944     
0242+37   AI PER      
0242-13   CU ERI      
0242-30   SN 1999EU   
0242-30B  SN 2003B    
0243+01   SS CET      
0243+37   PY PER      
0243+56A  W PER       
0243+56B  EO PER      
0243+56C  VAR? S      
0243+56D  VAR? E      
0243+56E  110 COMP E  
0243+57   V648 CAS    
0243+68   SU CAS      
0243-12   Z ERI       
0243-64   RU HOR      
0244+08   EE CET      
0244+35   V564 PER    
0244+38   IN PER      
0244+56   ZZ PER      
0244+58   V502 CAS    
0244-04   NSV 15586   
0245+11   NSV 15590   
0245+37   V369 PER    
0245-59   X HOR       
0246+16   NSV 15597   
0246+36   PZ PER      
0247+11   AN ARI      
0247+25   SN 1999EG   
0247+52   TAU PER     
0247-08   RR ERI      
0248+08   EG CET      
0248+14   NSV 15603   
0249+30   AO ARI      
0249-38   SY FOR      
0250+17   RZ ARI
0250+17B  NSV 15612   
0250+36   V372 PER    
0250-50   R HOR       
0251-23   RXJ0255.6-  
0252+20   NSV 15614   
0253+20   NSV 1001    
0253+38   ST PER      
0253+40   NSV 1004    
0253+42   IV PER      
0253+43   AE PER      
0254+07   BZ CET      
0254+69   V727 CAS    
0254-02   NSV 1008    
0254-13   DR ERI      
0255+48   AL PER      
0255+64   -CAS1       
0255+64B  V664 CAS    
0255-03   CV ERI      
0256+10   NSV 1022    
0257+53   GAMMA PER   
0257-51   T HOR       
0258+38   RHO PER     
0259+19   RT ARI      
0259+19B  STAR B NE   
0259+19C  STAR E E    
0259+19D  STAR F SE   
0300+11   AQ ARI      
0300+46   V400 PER    
0300+46B  VAR NW      
0300+46C  133 COMP N  
0300+46D  135 COMP S  
0300+46E  137 COMP S  
0301+40   BETA PER    
0301+65   YY CAS      
0301-59   V HOR       
0302+12   NSV 1051    
0302+18   NSV 15637   
0302+26   Z ARI       
0303+45   V409 PER    
0304+13   ST ARI
0304+13B  NSV 15643   
0304+15   NSV 1060    
0304+57   V623 CAS    
0305+14   U ARI       
0305+14B  122 COMP W  
0305+14C  150 COMP S  
0305+19   NSV 1066    
0305+37   V571 PER    
0305-10   CP ERI      
0306+47   V410 PER    
0306-24   TW ERI      
0307+04   SN 2000F    
0307-12   SS ERI      
0308+46   AA PER      
0309+42   QY PER      
0309+42B  VAR PER     
0309+60   VAR62 CAM   
0309-22   EF ERI      
0310+41   V374 PER    
0310-57   TW HOR      
0311+32   BD 32 599   
0311+42   WW PER      
0311+44   SAO 38709   
0311+70   V667 CAS    
0312+32   V600 PER    
0312+59   NSV 1101    
0313+31   UZ PER      
0313+32   TW PER      
0313+32B  91 COMP SW  
0313+32C  93 COMP SE  
0313+32D  119 COMP W  
0313+41   NGC 1275    
0313+60   FT CAM      
0314+28   W ARI       
0314-01   X CET       
0314-01B  90 COMP SE  
0315-22   TAU4 ERI    
0316+31   V574 PER    
0316+41   V336 PER    
0317-15   SN 2002FK
0317-21   VW ERI      
0319+08   NSV 1134    
0319+19   SV ARI      
0319+20   AS ARI      
0319+47   V384 PER    
0319-37A  SN 1980N    
0319-37B  SN 1981D    
0320+43   Y PER       
0320+43B  94 COMP NW  
0321+24   AT ARI      
0321+33   NSV 1151    
0322+08   NSV 15695   
0322+44   VW PER      
0322-34   VX FOR      
0323+20   NSV 15701   
0323+35   R PER       
0323+39   RU PER      
0323+44   NSV 15707   
0324+43   GK PER      
0324+43B  91 COMP NW  
0324+43C  118 COMP S  
0324+44   TASV0327+4  
0324+58   AF CAM      
0325+13   NSV 1177    
0325+41   V513 PER    
0325+42   SAO 38922   
0325-28   T FOR       
0326+45   V577 PER    
0326-56   RT HOR      
0328+14   V1122 TAU   
0328+24   NSV 1192    
0328-26   RZ FOR      
0329+18   V1124 TAU   
0329+47   PSI PER     
0329-16   RT ERI      
0329-36   SN 1983V    
0329-36B  SN 2001DU   
0330+52   NSV 1199    
0331+00   V711 TAU    
0331-26   UZ FOR
0332-05   SN 1999GO   
0332-35   SN 1992A    
0333+09   NSV 15729   
0333+18   V1082 TAU   
0333+20   NSV 1213    
0333+24   NSV 15732   
0333+62A  U CAM       
0333+62B  BD CAM      
0333+80   SS CEP      
0333-64   RET 1       
0334+32   IP PER      
0334+51   V466 PER    
0335+36   AF PER      
0335+47   DELTA PER   
0335+57   CW CAM      
0335-55   NSV 1214    
0336-11   VY ERI      
0337+07   NSV 1234    
0337+23   NSV 15745   
0337+25   NSV 15747   
0337+31   NSV 1243    
0338+21   V701 TAU    
0338+23   NSV 1262    
0338+23B  17 TAU      
0338+63   BL CAM      
0338-47   SN 1985P    
0339+09   CH TAU      
0339+22   NSV 1280    
0339+23A  NSV 1268    
0339+23B  NSV 15755   
0339+23C  NSV 15764   
0339+24B  NSV 15820   
0339+24C  NSV 1273    
0339+24D  NSV 1279    
0339+24E  NSV 15762   
0339+29   OV TAU      
0340+22   NSV 15767   
0340+23   NSV 1287    
0340+23B  NSV 1286    
0340+24   NSV 1283
0340+34   SZ PER      
0340+65   BE CAM      
0340+67   CG CAM      
0340-25   U FOR       
0341+23   FL TAU      
0341+23B  NSV 1297    
0341+23C  NSV 1300    
0341+23D  NSV 1306    
0341-24   S FOR       
0341-44A  SN 1983S    
0341-44B  SN 2001EL   
0342+10   NSV 1327    
0342+23   SY TAU      
0342+23B  NSV 1321    
0342+24   NSV 1316    
0342+25   NSV 1322    
0343+11   NSV 15791   
0343+12   V1128 TAU   
0343+22   NSV 1346    
0343+23   BU TAU      
0343+23C  VAR? W ETA  
0343+23E  NSV 1352    
0343+23F  NSV 15798   
0343+24   II TAU      
0343+38   XY PER      
0343+38B  TAV0346+38  
0343+47   MR PER      
0343-07   BR ERI      
0344+10   V1129 TAU   
0344+16   V471 TAU    
0344+18   NSV 15808   
0344+21   NSV 15801   
0344+24A  NSV 1365    
0344+24B  NSV 15799   
0344+25   NSV 1366    
0345+01   NSV 1381    
0345+21   NSV 15816   
0345+24   NSV 15813   
0345+32   RX PER      
0346+33   AZ PER
0346+58   RW CAM      
0346-01   SU ERI      
0346-25   U ERI       
0346-62A  RV RET      
0346-62B  RW RET      
0346-67   RX RET      
0347+07   X TAU       
0347+11   IK TAU      
0347+17   NSV 15826   
0347+19   BL TAU      
0347+25   NSV 1391    
0347-10   BV ERI      
0347-12   NSV 1388    
0347-57   RY RET      
0348+15   UY TAU      
0348+28   BM TAU      
0348+68   CZ CAM      
0348-09   SW ERI      
0348-09B  VAR ERI     
0349+30   X PER       
0349-46   U HOR       
0351+39   EPS PER     
0351-24   T ERI       
0351-55   SV RET      
0352-01   BD 01 565   
0353+08   NSV 15856   
0353+10   V1132 TAU   
0353+34   NSV 15857   
0353-13   GAMMA ERI   
0354+10   NSV 15859   
0354+57   TASV0358+5  
0355+06   TAU2        
0355+12   LAMBDA TAU  
0355+19   WW TAU      
0355+22   NSV 1433    
0355+42   NSV 1436    
0356+20   AK TAU      
0356+58   RX CAM      
0356+82   NSV 1477    
0357+04   RXJ0403.1+
0357+08   NSV 15878   
0357+16   TZ TAU      
0357+21   NSV 15874   
0357+27   RW TAU      
0357+61   UV CAM      
0357-23   SN 1982R    
0357-66   NSV 1432    
0358+21   NSV 15885   
0358+23   NSV 15883   
0358+25   V1134 TAU   
0358-55   T RET       
0359+21   NSV 1452    
0359+23   NSV 15894   
0359-16   V ERI       
0359-24   DP ERI      
0400+53   XX CAM      
0401+06   XY TAU      
0401+06B  121 VAR? S  
0401+06C  VAR? W      
0401+47   MX PER      
0401+50   FO PER      
0401-10   CY ERI      
0402+14   NSV 1466    
0402+26A  TX TAU      
0402+26B  TV TAU      
0402-58   EC04030-58  
0403+22   NSV 1474    
0403-55   SS DOR      
0404+41   SW PER      
0404+50   CTM2 PER    
0404+51   FR PER      
0404+51B  9M STAR N   
0404+51C  109 COMP E  
0404-08   DD ERI      
0404-08B  EI ERI      
0405-82   NSV 1440    
0406+21   V1094 TAU   
0406-15   XZ ERI      
0407+14   NSV 1509    
0407-10   YY ERI
0407-25   W ERI       
0407-25B  110 COMP E  
0408+12   NSV 15926   
0408+27   CW TAU      
0408+62   ZZ CAM      
0408-10   BM ERI      
0408-33   SN 1981A    
0408-70   HD 26667    
0409+23   V1139 TAU   
0409+50   SY PER      
0409+56   NSV 1538    
0409-33   SAO 194835  
0409-71   VW HYI      
0410+05   V891 TAU    
0410+21   V984 TAU    
0410-07   OMI2 ERI    
0410-07B  OMI2 ERI A  
0410-07C  OMI2 ERI B  
0410-07D  OMI2 ERI C  
0411+16   V818 TAU    
0411+20   NSV 15938   
0411+50   NS PER      
0411+55   CI CAM      
0411+74   RXSJ042332  
0411-10   NSV 15937   
0411-65   TW RET      
0412+14   NSV 15942   
0412+15   V985 TAU    
0412+18   NSV 15940   
0412+23   NSV 15941   
0412+28   V410 TAU    
0412+48   AS PER      
0412+57   TW CAM      
0412-25   AU ERI      
0413+15   NSV 1551    
0413+17   NSV 15949   
0413+19   V893 TAU    
0413+21   V724 TAU    
0413+28   BP TAU      
0413-18   RS ERI
0413-18B  76 COMP     
0413-18C  VAR? NE     
0414+13   V483 TAU    
0414+15   NSV 1553    
0414+16   NSV 15952   
0414+18   V986 TAU    
0414+68   SX CAM      
0415+14   NSV 1561    
0415+16   VAR TAU     
0415+20   V1100 TAU   
0415+28   RY TAU      
0415+28B  96 VAR? W   
0415+32   V518 PER    
0415-02   DQ ERI      
0415-18   AV ERI      
0416+19   T TAU       
0416+19B  108 COMP W  
0416+19C  U TAU       
0416+20   NSV 15956   
0416-06   TZ RET      
0416-60   ST RET      
0416-62   SN 1986L    
0417+14A  NSV 15961   
0417+14B  NSV 15965   
0417+16A  NSV 15960   
0417+16B  NSV 15964   
0417+17   NSV 1582    
0417+21   NSV 15963   
0417+22   V1142 TAU   
0417-05   RW ERI      
0418+16   V897 TAU    
0418+21   NSV 15970   
0418-13   AH ERI      
0418-54   RZ DOR      
0418-82   U MEN       
0419+00   PKS0422+00  
0419+15   NSV 15985   
0419+16   VX TAU      
0419+16B  VAR? W      
0419+16C  STAR C NE
0419+16D  V991 TAU    
0419+21   NSV 1594    
0419+23   NSV 15982   
0419-20   EC04224-20  
0420+15   V992 TAU    
0420+16   V906 TAU    
0420+17   NSV 15986   
0420+18   NSV 1597    
0420+21   NSV 15988   
0420+25A  DF TAU      
0420+25B  DG TAU      
0421+14   NSV 15993   
0421+15   V993 TAU    
0421+16   V911 TAU    
0421+16B  NSV 1604    
0421+22   NSV 15998   
0421+64   RY CAM      
0422+09   R TAU       
0422+13   NSV 16010   
0422+14A  NSV 16005   
0422+14B  NSV 16013   
0422+15   W TAU       
0422+15B  NSV 16016   
0422+16   NSV 1609    
0422+19   V918 TAU    
0422+39A  GI PER      
0422+39B  GY PER      
0422+48   BM PER      
0422+57   RV CAM      
0422+58   NSV 16032   
0423+09   S TAU       
0423+09B  VAR Y       
0423+12   NSV 16022   
0423+15   THETA2 TAU  
0423+17   V920 TAU    
0423+17B  NSV 16025   
0423+21   NSV 1612    
